entry_time,direction,entry,stop,target,exit_price,exit_time,outcome,r_multiple,pnl,confidence,zone_type
2022-08-17 14:55:00,short,1766.198,1766.1637214285715,1764.965,1764.965,2022-08-17 15:00:00,win,35.96999374871654,33951.85060197021,2,CISD
2022-08-19 08:05:00,short,1752.928,1752.964657142857,1752.728,1752.728,2022-08-19 08:10:00,win,5.455962587716745,6076.04886454043,2,CISD+zone
2022-08-23 09:30:00,short,1739.378,1739.5663714285715,1737.548,1737.548,2022-08-23 10:05:00,win,9.714849082350872,11114.109887944069,3,CISD+FVG
2022-08-25 12:00:00,short,1762.674,1762.49785,1761.958,1761.958,2022-08-25 12:05:00,win,4.064717570251868,9752.100879346055,5,CISD+BKR
2022-08-25 14:05:00,short,1755.955,1755.7746357142858,1752.294,1755.7746357142858,2022-08-25 14:15:00,loss,1.0,1248.3642543248923,3,CISD+FVG
2022-08-30 07:30:00,short,1731.678,1731.7252285714287,1728.918,1731.7252285714287,2022-08-30 07:35:00,loss,-1.0,-50.0,2,CISD+zone
2022-08-30 12:00:00,short,1732.014,1732.0149857142858,1730.898,1732.0149857142858,2022-08-30 12:10:00,loss,-1.0,-49.75,2,CISD+zone
2022-08-30 14:20:00,short,1725.664,1725.7475857142858,1720.208,1725.7475857142858,2022-08-30 15:30:00,loss,-1.0,-49.50124999999999,2,CISD+zone
2022-09-01 07:50:00,short,1704.868,1705.1884928571428,1703.348,1703.348,2022-09-01 08:10:00,win,4.742695402170355,233.5955040228019,2,CISD+zone
2022-09-01 08:20:00,short,1703.964,1704.1178785714285,1703.348,1703.348,2022-09-01 08:25:00,win,4.003156477742665,201.846040121392,2,CISD+zone
2022-09-01 12:45:00,short,1699.224,1699.2173285714284,1694.844,1699.2173285714284,2022-09-01 12:50:00,loss,1.0,51.43095147072098,2,CISD+zone
2022-09-05 12:10:00,short,1712.16,1712.6223357142858,1710.385,1712.6223357142858,2022-09-05 12:25:00,loss,-1.0,-51.688106228074574,2,CISD+zone
2022-09-06 12:30:00,short,1711.474,1711.8044714285716,1707.574,1711.8044714285716,2022-09-06 12:35:00,loss,-1.0,-51.4296656969342,2,CISD+zone
2022-09-09 12:00:00,short,1721.038,1721.5313428571428,1709.698,1721.5313428571428,2022-09-09 12:10:00,loss,-1.0,-51.172517368449526,3,CISD+FVG
2022-09-13 08:25:00,short,1722.418,1723.0371142857143,1719.888,1723.0371142857143,2022-09-13 08:30:00,loss,-1.0,-50.91665478160727,2,CISD+zone
2022-09-14 09:25:00,short,1703.008,1703.421192857143,1700.174,1703.421192857143,2022-09-14 09:30:00,loss,-1.0,-101.32414301539848,5,CISD+BKR
2022-09-14 12:30:00,long,1703.898,1699.0098428571428,1731.464,1699.0098428571428,2022-09-14 17:05:00,loss,-1.0,-50.155450792622254,2,CISD+zone
2022-09-15 07:10:00,short,1686.594,1686.6588357142857,1685.938,1686.6588357142857,2022-09-15 07:15:00,loss,-1.0,-49.90467353865914,2,CISD+zone
2022-09-19 12:05:00,long,1663.088,1661.7832571428573,1678.508,1678.508,2022-09-20 00:05:00,win,11.818420706873763,1173.690909966938,5,CISD+BKR
2022-09-22 07:05:00,short,1657.234,1657.3279714285713,1656.585,1657.3279714285713,2022-09-22 07:10:00,loss,-1.0,-55.523604720800535,2,CISD+zone
2022-09-27 09:05:00,short,1635.127,1635.7902142857142,1631.028,1635.7902142857142,2022-09-27 10:25:00,loss,-1.0,-110.49197339439307,4,CISD+IFVG
2022-09-29 14:25:00,short,1648.795,1649.2357714285713,1644.465,1649.2357714285713,2022-09-29 14:40:00,loss,-1.0,-54.69352683022456,2,CISD+zone
2022-09-30 09:40:00,short,1668.285,1669.188692857143,1659.158,1669.188692857143,2022-09-30 09:50:00,loss,-1.0,-108.84011839214689,5,CISD+BKR
2022-10-04 12:00:00,long,1705.538,1703.7384499999998,1712.007,1712.007,2022-10-04 12:50:00,win,3.5947875857850016,193.67226768357241,2,CISD+zone
2022-10-05 13:45:00,short,1709.544,1709.8391642857143,1706.177,1706.177,2022-10-05 14:00:00,win,11.407206640372332,625.6193499144754,2,CISD+zone
2022-10-10 13:20:00,short,1675.148,1675.2863642857144,1674.028,1674.028,2022-10-10 13:30:00,win,8.094574363727,469.26122850175943,2,CISD+zone
2022-10-25 08:55:00,short,1644.087,1643.8793,1642.707,1642.707,2022-10-25 09:10:00,win,6.64419836302521,400.76889509766244,2,CISD+zone
2022-10-27 09:05:00,short,1662.608,1662.5749142857144,1662.107,1662.107,2022-10-27 09:10:00,win,15.142487046701078,943.7171539616415,2,CISD+zone
2022-10-27 12:20:00,short,1658.358,1658.2477785714286,1649.558,1658.2477785714286,2022-10-27 12:25:00,loss,1.0,67.04105307990827,2,CISD+zone
2022-10-27 13:50:00,short,1658.228,1659.0645357142857,1654.668,1659.0645357142857,2022-10-27 14:00:00,loss,-1.0,-67.3762583453078,2,CISD
2022-11-04 07:50:00,short,1644.598,1644.7309071428572,1643.798,1644.7309071428572,2022-11-04 07:55:00,loss,-1.0,-67.03937705358126,3,CISD+FVG
2022-11-04 12:25:00,short,1650.197,1650.9076357142858,1647.067,1647.067,2022-11-04 12:30:00,win,4.404507030926728,293.79903054353935,4,CISD+IFVG
2022-11-09 13:15:00,short,1705.227,1705.3558571428573,1703.777,1705.3558571428573,2022-11-09 13:20:00,loss,-1.0,-68.17317532103105,3,CISD+FVG
2022-11-10 07:05:00,short,1708.607,1708.8758714285714,1704.908,1708.8758714285714,2022-11-10 07:15:00,loss,-1.0,-67.8323094444259,2,CISD+zone
2022-11-15 08:35:00,short,1775.877,1775.9438857142857,1773.778,1775.9438857142857,2022-11-15 08:45:00,loss,-1.0,-67.49314789720377,3,CISD+FVG
2022-11-17 09:35:00,short,1764.978,1765.0123428571428,1763.278,1765.0123428571428,2022-11-17 09:40:00,loss,-1.0,-67.15568215771776,2,CISD+zone
2022-11-17 13:10:00,short,1759.877,1759.8326499999998,1756.498,1759.8326499999998,2022-11-17 13:20:00,loss,1.0,66.81990374692917,2,CISD+zone
2022-11-18 14:35:00,short,1756.488,1756.7287071428573,1754.268,1754.268,2022-11-18 14:40:00,win,9.222825603130856,619.3496606712973,3,CISD+FVG
2022-11-22 12:40:00,short,1746.498,1746.8328642857143,1737.828,1746.8328642857143,2022-11-22 13:00:00,loss,-1.0,-140.50150313804062,5,CISD+BKR
2022-11-24 13:15:00,short,1756.058,1756.8082000000002,1752.088,1756.8082000000002,2022-11-24 13:50:00,loss,-1.0,-139.0964881066602,5,CISD+BKR
2022-11-29 09:45:00,short,1752.748,1754.862385714286,1740.057,1754.862385714286,2022-11-29 10:15:00,loss,-1.0,-137.70552322559362,4,CISD+IFVG
2022-11-29 14:20:00,short,1749.768,1749.807807142857,1740.057,1749.807807142857,2022-11-29 14:30:00,loss,-1.0,-68.16423399666884,3,CISD+FVG
